Ep_No,Brand,Male,Female,Location,Idea,Sector,Deal,Amount_Invested_lakhs,Amout_Asked,Debt_Invested,Debt_Asked,Equity_Taken_in_Prec,Equity_Asked_in_Prec,Avg_age,Team_members,Ashneer_Amount_Invested,Ashneer_Equity_Taken_in_Prec,Namita_Amount_Invested,Namita_Equity_Taken_in_Prec,Anupam_Amount_Invested,Anupam_Equity_Taken_in_Prec,Vineeta_Amount_Invested,Vineeta_Equity_Taken_in_Prec,Aman_Amount_Invested,Aman_Equity_Taken_in_Prec,Peyush_Amount_Invested,Peyush_Equity_Taken_in_Prec,Ghazal_Amount_Invested,Ghazal_Equity_Taken_in_Prec,Total_investors,Partners,Unwanted
11,Gopal 56,1,0,Delhi,Fiber Ice Cream,Food,No Deal,0,30000,0,0,0,25,30 to 35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ARRCOAT Surface Textures,3,0,Delhi,Wall Building,Lifestyle,50 lakhs for 15 perct equity,50,50,0,0,15,5,35 to 40,3,0,0,0,0,50,15,0,0,0,0,0,0,0,0,1,Anu,0
11,Farda,1,1,Nagpur,Customised Streetwear,Lifestyle,30 lakhs for 20 perct equity,30,30,0,0,20,10,20 to 25,2,0,0,15,10,0,0,0,0,15,10,0,0,0,0,2,Ama Nam,0
12,Auli Lifestyle,0,1,Kolkata,Ayurvedic Products,Health,75 lakhs for 15 perct equity,75,75,0,0,15,4,25 to 30,1,0,0,75,15,0,0,0,0,0,0,0,0,0,0,1,Nam,0
12,SweeDesi,1,1,Pune,Indian Sweets,Food,No Deal,0,40,0,0,0,3,35 to 40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,LOKA,1,1,Delhi,Metaverse App,Technology,40 lakhs for 24 perct equity,40,40,0,0,24,5,20 to 25,1,0,0,0,0,13.3,8,0,0,13.3,8,13.3,8,0,0,3,Ama Anu Pey,0
13,Annie,3,1,Bangalore,Braille Literary Device,Health,1.05 crore at 3 perct equity,105,30,0,0,3,0.5,20 to 25,4,0,0,35,1,35,1,0,0,0,0,35,1,0,0,3,Anu Nam Pey,0
13,Caragreen,0,2,Indore,Eco Friendly boxes,Lifestyle,50 lakhs for 20 perct equity,50,50,0,0,20,10,40 to 45,2,0,0,0,0,25,10,0,0,0,0,25,10,0,0,2,Anu Pey,0
13,The Yarn Bazaar,1,0,Mumbai,Yarn Trading App,Clothes,1 crore for 10 perct equity,100,50,0,0,10,2,30 to 35,1,25,2.5,0,0,25,2.5,0,0,25,2.5,25,2.5,0,0,4,Ama Anu Ash Pey,0
14,The Renal Project,2,0,Mumbai,Home Dialysis Treatment,Health,1 crore at 6 perct equity,100,100,0,0,6,3,30 to 35,2,0,0,50,3,0,0,0,0,50,3,0,0,0,0,2,Ama Nam,0
14,Morikko Pure Foods,2,1,Valsad,Healthy Food Snacks,Food,No Deal,0,100,0,0,0,3,45 to 50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Good Good Piggy Bank,0,1,Delhi,Digital Piggy Bank,Lifestyle,No Deal,0,45,0,0,0,5,25 to 30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hammer Lifestyle,1,0,Panipat,Smart Audio Products,Lifestyle,1 crore for 40 perct equity,100,30,0,0,40,3,25 to 30,1,0,0,0,0,0,0,0,0,100,40,0,0,0,0,1,Ama,0
15,PNT,2,0,Mumbai,Robotics and Automation Solutions,Technology,25 lakhs for 25 perct equity and 25 lakhs debt,25,50,25,0,25,4,20 to 25,2,0,0,0,0,0,0,0,0,0,0,50,50,0,0,1,Pey,0
15,Cocofit,0,0,Hyderabad,Coconut based beverage franchise,Food,5 for 5 perct equity,5,0.005,0,0,5,5,35 to 40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Ama Anu Nam,0
16,Bamboo India,1,1,Pune,Bamboo Products,Lifestyle,50 lakhs at 3.5 perct Equity and 30 lakhs Debt,50,80,30,0,3.5,4,40 to 45,2,40,1.75,0,0,40,1.75,0,0,0,0,0,0,0,0,2,Anu Ash,0
